,title,url_anime,date_published_anime,score_anime,rank_anime,members_anime,anime_exists,url,date_published,score,rank,members
0,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,2011-01 - 2011-01,9.07,3.0,112561201.0,yes,https://myanimelist.net/manga/39859/Steins_Gate,2011-01 - 2012-01,8.58,3,213037
1,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,2011-01 - 2011-01,9.07,3.0,112561201.0,yes,https://myanimelist.net/manga/39859/Steins_Gate,2011-01 - 2012-01,8.58,3,213037
2,One Piece,https://myanimelist.net/anime/21/One_Piece,1999-01,8.72,1.0,2352301.0,yes,https://myanimelist.net/manga/13/One_Piece,1997-01,9.22,4,619021
3,One Piece,https://myanimelist.net/anime/21/One_Piece,1999-01,8.72,1.0,2352301.0,yes,https://myanimelist.net/manga/13/One_Piece,1997-01,9.22,4,619021
4,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018-01 - 2018-01,8.55,5.0,965483.0,yes,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai,2015-01 - 2015-01,8.68,4,157521
5,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018-01 - 2018-01,8.55,5.0,965483.0,yes,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai,2016-01 - 2017-01,8.5,1,743585
6,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018-01 - 2018-01,8.55,5.0,965483.0,yes,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai,2015-01 - 2015-01,8.68,4,157521
7,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018-01 - 2018-01,8.55,5.0,965483.0,yes,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai,2016-01 - 2017-01,8.5,1,743585
8,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018-01 - 2018-01,8.55,5.0,965483.0,yes,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai,2015-01 - 2015-01,8.68,4,157521
9,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018-01 - 2018-01,8.55,5.0,965483.0,yes,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai,2016-01 - 2017-01,8.5,1,743585
10,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,1993-01 - 1996-01,8.55,1.0,300934.0,yes,https://myanimelist.net/manga/51/Slam_Dunk,1990-01 - 1996-01,9.09,1,170977
11,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,1993-01 - 1996-01,8.55,1.0,300934.0,yes,https://myanimelist.net/manga/51/Slam_Dunk,1990-01 - 1996-01,9.09,1,170977
12,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue,2018-01 - 2018-01,8.43,2.0,778550.0,yes,https://myanimelist.net/manga/70345/Grand_Blue,2014-01,9.03,4,176502
13,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue,2018-01 - 2018-01,8.43,2.0,778550.0,yes,https://myanimelist.net/manga/70345/Grand_Blue,2014-01,9.03,4,176502
14,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,2011-01 - 2011-01,8.37,3.0,111288109.0,yes,https://myanimelist.net/manga/24457/Mahou_Shoujo_Madoka★Magica,2011-01 - 2011-01,8.09,4,139562
15,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,2011-01 - 2011-01,8.37,3.0,111288109.0,yes,https://myanimelist.net/manga/24457/Mahou_Shoujo_Madoka★Magica,2011-01 - 2011-01,8.09,4,139562
